,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore&nbsp;&nbsp;&nbsp;主演: 金妮弗·...,2016
,导演: 刘镇伟 Jeffrey Lau&nbsp;&nbsp;&nbsp;主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995
,导演: 黄东赫 Dong-hyuk Hwang&nbsp;&nbsp;&nbsp;主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011
,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola&nbsp;&nbsp;&nbsp;主演: 马龙·白兰度 M...,1972
,导演: 比利·怀尔德 Billy Wilder&nbsp;&nbsp;&nbsp;主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957
,导演: 加布里尔·穆奇诺 Gabriele Muccino&nbsp;&nbsp;&nbsp;主演: 威尔·史密斯 Will Smith ...,2006
,导演: 罗伯·莱纳 Rob Reiner&nbsp;&nbsp;&nbsp;主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010
,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano&nbsp;&nbsp;&nbsp;主...,2011
,导演: 宫崎骏 Hayao Miyazaki&nbsp;&nbsp;&nbsp;主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988
,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci&nbsp;&nbsp;&nbsp;主演: 尊龙 John Lone / 陈...,1987
,导演: 克里斯托弗·诺兰 Christopher Nolan&nbsp;&nbsp;&nbsp;主演: 克里斯蒂安·贝尔 Christ...,2008
,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina&nbsp;&nbsp;&nbsp;主演: ...,2017
,导演: 张艺谋 Yimou Zhang&nbsp;&nbsp;&nbsp;主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994
,导演: Chris Columbus&nbsp;&nbsp;&nbsp;主演: Daniel Radcliffe / Emma Watson / Rupert Grint,2001
,导演: 彼得·杰克逊 Peter Jackson&nbsp;&nbsp;&nbsp;主演: 伊利亚·伍德 Elijah Wood / 西恩...,2003
,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor&nbsp;&nbsp;&nbsp;主演: 费...,1939
,导演: 李濬益 Jun-ik Lee&nbsp;&nbsp;&nbsp;主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013
,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson&nbsp;&nbsp;&nbsp;主演: 爱德...,2009
,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 
,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 
,导演: 吕克·贝松 Luc Besson,主演: 
,导演: 宫崎骏 Hayao Miyazaki,主演: 
,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 
,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 
,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 
,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 
,导演: 刘伟强 / 麦兆辉,主演: 
,导演: 刘镇伟 Jeffrey Lau,主演: 
,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 
,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 
,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 
,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 
,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 
,导演: 刘伟强 / 麦兆辉,主演: 
,导演: 刘镇伟 Jeffrey Lau,主演: 
,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 
,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 
,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...
,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 
,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,主演: 
,导演: Chris Columbus,主演: 
,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,主演: 
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 
这个杀手不太冷,导演: 吕克·贝松 Luc Besson,主演: 
千与千寻,导演: 宫崎骏 Hayao Miyazaki,主演: 
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 
无间道,导演: 刘伟强 / 麦兆辉,主演: 
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,主演: 
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 
无间道,导演: 刘伟强 / 麦兆辉,主演: 
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,主演: 
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 
寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,主演: 
哈利·波特与魔法石,导演: Chris Columbus,主演: 
乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,主演: 
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,"主演: 蒂姆·罗宾斯 Tim Robbins /...<br>
                            1994&nbsp;/&nbsp;美国&nbsp;/&nbsp;犯罪 剧情
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating5-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.7</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>2584457人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">希望让人自由。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">2</em>
                    <a href=""https:",1993
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,"主演: 汤姆·汉克斯 Tom Hanks / ...<br>
                            1994&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 爱情
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating5-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.5</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1941955人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">一部美国近现代史。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">4</em>
                    <a href=""https:",1997
这个杀手不太冷,导演: 吕克·贝松 Luc Besson,"主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...<br>
                            1994&nbsp;/&nbsp;法国 美国&nbsp;/&nbsp;剧情 动作 犯罪
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.4</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>2097218人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">怪蜀黍和小萝莉不得不说的故事。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">6</em>
                    <a href=""https:",1997
千与千寻,导演: 宫崎骏 Hayao Miyazaki,"主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...<br>
                            2001&nbsp;/&nbsp;日本&nbsp;/&nbsp;剧情 动画 奇幻
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.4</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>2021155人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">最好的宫崎骏，最好的久石让。 </span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">8</em>
                    <a href=""https:",1993
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan,"主演: 莱昂纳多·迪卡普里奥 Le...<br>
                            2010&nbsp;/&nbsp;美国 英国&nbsp;/&nbsp;剧情 科幻 悬疑 冒险
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.4</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1863279人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">诺兰给了我们一场无法盗取的梦。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">10</em>
                    <a href=""https:",2009
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,"主演: 马修·麦康纳 Matthew Mc...<br>
                            2014&nbsp;/&nbsp;美国 英国 加拿大&nbsp;/&nbsp;剧情 科幻 冒险
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.4</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1548515人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">爱是一种力量，让我们超越时空感知它的存在。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">12</em>
                    <a href=""https:",1998
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,"主演: 蒂姆·罗斯 Tim Roth / ...<br>
                            1998&nbsp;/&nbsp;意大利&nbsp;/&nbsp;剧情 音乐
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1514249人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">每个人都要走一条自己坚定了的路，就算是粉身碎骨。 </span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">14</em>
                    <a href=""https:",2009
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,"主演: 本·贝尔特 Ben Burtt / 艾丽...<br>
                            2008&nbsp;/&nbsp;美国&nbsp;/&nbsp;科幻 动画 冒险
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1193440人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">小瓦力，大人生。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">16</em>
                    <a href=""https:",2004
无间道,导演: 刘伟强 / 麦兆辉,"主演: 刘德华 / 梁朝伟 / 黄秋生<br>
                            2002&nbsp;/&nbsp;中国香港&nbsp;/&nbsp;剧情 犯罪 惊悚
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1189432人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">香港电影史上永不过时的杰作。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">18</em>
                    <a href=""https:",2016
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,"主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...<br>
                            1995&nbsp;/&nbsp;中国香港 中国大陆&nbsp;/&nbsp;喜剧 爱情 奇幻 古装
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.2</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1383657人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">一生所爱。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">20</em>
                    <a href=""https:",2011
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,"主演: 马龙·白兰度 M...<br>
                            1972&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 犯罪
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>853696人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">千万不要记恨你的对手，这样会让你失去理智。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">22</em>
                    <a href=""https:",1957
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,"主演: 威尔·史密斯 Will Smith ...<br>
                            2006&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 传记 家庭
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.2</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1371737人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">平民励志片。 </span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">24</em>
                    <a href=""https:",2010
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,"主演: 马修·麦康纳 Matthew Mc...<br>
                            2014&nbsp;/&nbsp;美国 英国 加拿大&nbsp;/&nbsp;剧情 科幻 冒险
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.4</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1548515人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">爱是一种力量，让我们超越时空感知它的存在。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">12</em>
                    <a href=""https:",1998
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,"主演: 蒂姆·罗斯 Tim Roth / ...<br>
                            1998&nbsp;/&nbsp;意大利&nbsp;/&nbsp;剧情 音乐
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1514249人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">每个人都要走一条自己坚定了的路，就算是粉身碎骨。 </span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">14</em>
                    <a href=""https:",2009
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,"主演: 本·贝尔特 Ben Burtt / 艾丽...<br>
                            2008&nbsp;/&nbsp;美国&nbsp;/&nbsp;科幻 动画 冒险
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1193440人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">小瓦力，大人生。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">16</em>
                    <a href=""https:",2004
无间道,导演: 刘伟强 / 麦兆辉,"主演: 刘德华 / 梁朝伟 / 黄秋生<br>
                            2002&nbsp;/&nbsp;中国香港&nbsp;/&nbsp;剧情 犯罪 惊悚
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1189432人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">香港电影史上永不过时的杰作。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">18</em>
                    <a href=""https:",2016
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau,"主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...<br>
                            1995&nbsp;/&nbsp;中国香港 中国大陆&nbsp;/&nbsp;喜剧 爱情 奇幻 古装
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.2</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1383657人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">一生所爱。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">20</em>
                    <a href=""https:",2011
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,"主演: 马龙·白兰度 M...<br>
                            1972&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 犯罪
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>853696人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">千万不要记恨你的对手，这样会让你失去理智。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">22</em>
                    <a href=""https:",1957
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,"主演: 威尔·史密斯 Will Smith ...<br>
                            2006&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 传记 家庭
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.2</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1371737人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">平民励志片。 </span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">24</em>
                    <a href=""https:",2010
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,"主...<br>
                            2011&nbsp;/&nbsp;法国&nbsp;/&nbsp;剧情 喜剧
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>948836人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">满满温情的高雅喜剧。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">26</em>
                    <a href=""https:",1988
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,"主演: 尊龙 John Lone / 陈...<br>
                            1987&nbsp;/&nbsp;英国 意大利 中国大陆 法国&nbsp;/&nbsp;剧情 传记 历史
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>761418人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">“不要跟我比惨，我比你更惨”再适合这部电影不过了。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">28</em>
                    <a href=""https:",2008
寻梦环游记,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,"主演: ...<br>
                            2017&nbsp;/&nbsp;美国&nbsp;/&nbsp;喜剧 动画 奇幻 音乐
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.1</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1463003人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">死亡不是真的逝去，遗忘才是永恒的消亡。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">30</em>
                    <a href=""https:",1994
哈利·波特与魔法石,导演: Chris Columbus,"主演: Daniel Radcliffe / Emma Watson / Rupert Grint<br>
                            2001&nbsp;/&nbsp;美国 英国&nbsp;/&nbsp;奇幻 冒险
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.1</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>1024537人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">童话世界的开端。</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">32</em>
                    <a href=""https:",2003
乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,"主演: 费...<br>
                            1939&nbsp;/&nbsp;美国&nbsp;/&nbsp;剧情 历史 爱情 战争
                        </p>

                        
                        <div class=""star"">
                                <span class=""rating45-t""></span>
                                <span class=""rating_num"" property=""v:average"">9.3</span>
                                <span property=""v:best"" content=""10.0""></span>
                                <span>620740人评价</span>
                        </div>

                            <p class=""quote"">
                                <span class=""inq"">Tomorrow is another day.</span>
                            </p>
                    </div>
                </div>
            </div>
        </li>
        <li>
            <div class=""item"">
                <div class=""pic"">
                    <em class="""">34</em>
                    <a href=""https:",2013
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 蒂姆·罗宾斯 Tim Robbins,1994
霸王别姬,导演: 陈凯歌 Kaige Chen,主演: 张国荣 Leslie Cheung,1993
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 汤姆·汉克斯 Tom Hanks,1994
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,"主演: 莱昂纳多·迪卡普里奥 Leonardo...<br>
                            1997&nbsp;",1994
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,"主演: 罗伯托·贝尼尼 Roberto Beni...<br>
                            1997&nbsp;",2001
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,"主演: 连姆·尼森 Liam Neeson...<br>
                            1993&nbsp;",2010
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,"主演: 理查·基尔 Richard Ger...<br>
                            2009&nbsp;",2014
楚门的世界,导演: 彼得·威尔 Peter Weir,主演: 金·凯瑞 Jim Carrey,1998
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 蒂姆·罗斯 Tim Roth,1998
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,主演: 阿米尔·汗 Aamir Khan,2009
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 本·贝尔特 Ben Burtt,2008
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,"主演: 热拉尔·朱尼奥 Gé...<br>
                            2004&nbsp;",2002
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,"主演: 金妮弗·...<br>
                            2016&nbsp;",1995
熔炉,导演: 黄东赫 Dong-hyuk Hwang,主演: 孔侑 Yoo Gong,2011
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,"主演: 马龙·白兰度 M...<br>
                            1972&nbsp;",1957
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,"主演: 威尔·史密斯 Will Smith ...<br>
                            2006&nbsp;",2010
星际穿越,导演: 克里斯托弗·诺兰 Christopher Nolan,"主演: 马修·麦康纳 Matthew Mc...<br>
                            2014&nbsp;",1998
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 蒂姆·罗斯 Tim Roth,1998
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,主演: 阿米尔·汗 Aamir Khan,2009
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 本·贝尔特 Ben Burtt,2008
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,"主演: 热拉尔·朱尼奥 Gé...<br>
                            2004&nbsp;",2002
疯狂动物城,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,"主演: 金妮弗·...<br>
                            2016&nbsp;",1995
熔炉,导演: 黄东赫 Dong-hyuk Hwang,主演: 孔侑 Yoo Gong,2011
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,"主演: 马龙·白兰度 M...<br>
                            1972&nbsp;",1957
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino,"主演: 威尔·史密斯 Will Smith ...<br>
                            2006&nbsp;",2010
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,"主...<br>
                            2011&nbsp;",1988
末代皇帝,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,主演: 尊龙 John Lone,1987
蝙蝠侠：黑暗骑士,导演: 克里斯托弗·诺兰 Christopher Nolan,"主演: 克里斯蒂安·贝尔 Christ...<br>
                            2008&nbsp;",2017
活着,导演: 张艺谋 Yimou Zhang,主演: 葛优 You Ge,1994
哈利·波特与魔法石,导演: Chris Columbus,主演: Daniel Radcliffe,2001
指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson,主演: 伊利亚·伍德 Elijah Wood,2003
乱世佳人,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,"主演: 费...<br>
                            1939&nbsp;",2013
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 蒂姆·罗宾斯 Tim Robbins,
霸王别姬,导演: 陈凯歌 Kaige Chen,主演: 张国荣 Leslie Cheung,
阿甘正传,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 汤姆·汉克斯 Tom Hanks,
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron,"主演: 莱昂纳多·迪卡普里奥 Leonardo...<br>
                            1997&nbsp;",
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni,"主演: 罗伯托·贝尼尼 Roberto Beni...<br>
                            1997&nbsp;",
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,"主演: 连姆·尼森 Liam Neeson...<br>
                            1993&nbsp;",
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström,"主演: 理查·基尔 Richard Ger...<br>
                            2009&nbsp;",
楚门的世界,导演: 彼得·威尔 Peter Weir,主演: 金·凯瑞 Jim Carrey,
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 蒂姆·罗斯 Tim Roth,
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani,主演: 阿米尔·汗 Aamir Khan,
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 本·贝尔特 Ben Burtt,
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,"主演: 热拉尔·朱尼奥 Gé...<br>
